50.005 22
50.015 23
50.025 15
50.035 17
50.045 18
50.055 18
50.065 21
50.075 27
50.085 25
50.095 15
50.105 23
50.115 21
50.125 23
50.135 24
50.145 12
50.155 22
50.165 16
50.175 21
50.185 14
50.195 21
50.205 21
50.215 11
50.225 18
50.235 20
50.245 16
50.255 15
50.265 15
50.275 18
50.285 14
50.295 17
50.305 25
50.315 24
50.325 19
50.335 17
50.345 15
50.355 10
50.365 23
50.375 15
50.385 20
50.395 13
50.405 15
50.415 18
50.425 15
50.435 17
50.445 8
50.455 19
50.465 17
50.475 20
50.485 19
50.495 17
50.505 19
50.515 8
50.525 16
50.535 13
50.545 11
50.555 13
50.565 13
50.575 20
50.585 22
50.595 27
50.605 15
50.615 24
50.625 20
50.635 14
50.645 19
50.655 14
50.665 18
50.675 23
50.685 14
50.695 14
50.705 11
50.715 18
50.725 13
50.735 20
50.745 20
50.755 24
50.765 20
50.775 21
50.785 19
50.795 15
50.805 29
50.815 18
50.825 19
50.835 17
50.845 14
50.855 23
50.865 12
50.875 12
50.885 15
50.895 19
50.905 16
50.915 13
50.925 15
50.935 29
50.945 27
50.955 20
50.965 19
50.975 19
50.985 21
50.995 18
51.005 14
51.015 15
51.025 12
51.035 19
51.045 14
51.055 19
51.065 17
51.075 15
51.085 19
51.095 10
51.105 21
51.115 16
51.125 20
51.135 17
51.145 22
51.155 15
51.165 18
51.175 13
51.185 15
51.195 16
51.205 7
51.215 14
51.225 12
51.235 14
51.245 10
51.255 20
51.265 14
51.275 25
51.285 22
51.295 21
51.305 17
51.315 18
51.325 20
51.335 13
51.345 21
51.355 22
51.365 12
51.375 15
51.385 16
51.395 14
51.405 18
51.415 16
51.425 11
51.435 19
51.445 14
51.455 19
51.465 19
51.475 16
51.485 16
51.495 14
51.505 16
51.515 18
51.525 21
51.535 16
51.545 8
51.555 9
51.565 10
51.575 9
51.585 12
51.595 13
51.605 25
51.615 22
51.625 17
51.635 18
51.645 16
51.655 22
51.665 16
51.675 22
51.685 17
51.695 21
51.705 11
51.715 12
51.725 18
51.735 14
51.745 11
51.755 21
51.765 16
51.775 13
51.785 15
51.795 14
51.805 18
51.815 11
51.825 17
51.835 27
51.845 23
51.855 17
51.865 14
51.875 11
51.885 18
51.895 5
51.905 16
51.915 8
51.925 9
51.935 12
51.945 11
51.955 17
51.965 22
51.975 19
51.985 20
51.995 26
52.005 18
52.015 24
52.025 18
52.035 28
52.045 17
52.055 17
52.065 16
52.075 16
52.085 13
52.095 9
52.105 12
