53.01	66
53.03	62
53.05	70
53.07	78
53.09	82
53.11	68
53.13	66
53.15	60
53.17	52
53.19	48
53.21	64
53.23	40
53.25	54
53.27	54
53.29	62
53.31	44
53.33	66
53.35	62
53.37	62
53.39	60
53.41	60
53.43	54
53.45	60
53.47	66
53.49	84
53.51	66
53.53	68
53.55	66
53.57	54
53.59	66
53.61	78
53.63	72
53.65	82
53.67	74
53.69	62
53.71	80
53.73	94
53.75	68
53.77	96
53.79	70
53.81	86
53.83	70
53.85	86
53.87	74
53.89	86
53.91	74
53.93	84
53.95	70
53.97	86
53.99	96
54.01	60
54.03	68
54.05	76
54.07	110
54.09	86
54.11	80
54.13	70
54.15	86
54.17	64
54.19	72
54.21	72
54.23	60
54.25	66
54.27	58
54.29	62
54.31	66
54.33	54
54.35	42
54.37	62
54.39	66
54.41	40
54.43	58
54.45	44
54.47	54
54.49	56
54.51	40
54.53	48
54.55	50
54.57	54
54.59	58
54.61	60
54.63	48
54.65	82
54.67	68
54.69	60
54.71	78
54.73	76
54.75	70
54.77	66
54.79	70
54.81	62
54.83	100
54.85	94
54.87	92
54.89	94
54.91	98
54.93	82
54.95	78
54.97	96
54.99	100
55.01	74
55.03	108
55.05	84
55.07	100
55.09	70
55.11	108
55.13	86
55.15	108
55.17	108
55.19	68
55.21	68
55.23	84
55.25	68
55.27	82
55.29	76
55.31	78
55.33	76
55.35	70
55.37	62
55.39	78
55.41	70
55.43	68
55.45	66
55.47	58
55.49	66
55.51	60
55.53	54
55.55	48
55.57	38
55.59	58
55.61	38
55.63	46
55.65	48
55.67	48
55.69	44
55.71	46
55.73	66
55.75	56
55.77	46
55.79	58
55.81	72
55.83	74
55.85	72
55.87	84
55.89	68
55.91	94
55.93	84
55.95	94
55.97	78
55.99	108
56.01	114
56.03	104
56.05	108
56.07	120
56.09	116
56.11	118
56.13	118
56.15	122
56.17	120
56.19	126
56.21	128
56.23	130
56.25	128
56.27	136
56.29	118
56.31	124
56.33	104
56.35	118
56.37	104
56.39	102
56.41	138
56.43	98
56.45	92
56.47	110
56.49	100
56.51	84
56.53	84
56.55	90
56.57	68
56.59	78
56.61	64
56.63	58
56.65	66
56.67	68
56.69	54
56.71	52
56.73	58
56.75	56
56.77	48
56.79	42
56.81	44
56.83	50
56.85	54
56.87	48
56.89	46
56.91	64
56.93	68
56.95	72
56.97	76
56.99	70
57.01	72
57.03	78
57.05	94
57.07	90
57.09	106
57.11	108
57.13	122
57.15	114
57.17	154
57.19	140
57.21	142
57.23	164
57.25	166
57.27	170
57.29	194
57.31	196
57.33	208
57.35	238
57.37	178
57.39	206
57.41	224
57.43	226
57.45	192
57.47	236
57.49	200
57.51	238
57.53	230
57.55	226
57.57	220
57.59	198
57.61	216
57.63	200
57.65	242
57.67	234
57.69	192
57.71	240
57.73	188
57.75	198
57.77	140
57.79	162
57.81	118
57.83	138
57.85	124
57.87	136
57.89	116
57.91	82
57.93	112
57.95	102
57.97	98
57.99	90
58.01	94
58.03	86
58.05	82
58.07	88
58.09	78
58.11	74
58.13	98
58.15	96
58.17	90
58.19	122
58.21	132
58.23	158
58.25	172
58.27	204
58.29	212
58.31	252
58.33	302
58.35	284
58.37	350
58.39	418
58.41	380
58.43	410
58.45	506
58.47	506
58.49	572
58.51	636
58.53	644
58.55	730
58.57	778
58.59	802
58.61	894
58.63	946
58.65	976
58.67	984
58.69	1034
58.71	1068
58.73	1214
58.75	1180
58.77	1252
58.79	1264
58.81	1456
58.83	1376
58.85	1506
58.87	1468
58.89	1554
58.91	1622
58.93	1656
58.95	1682
58.97	1666
58.99	1656
59.01	1738
59.03	1788
59.05	1852
59.07	1826
59.09	1906
59.11	2028
59.13	1930
59.15	1942
59.17	2030
59.19	2068
59.21	1868
59.23	2014
59.25	1982
59.27	1916
59.29	2084
59.31	1956
59.33	2026
59.35	1882
59.37	1910
59.39	1924
59.41	1942
59.43	1950
59.45	1778
59.47	1876
59.49	1828
59.51	1686
59.53	1780
59.55	1724
59.57	1538
59.59	1610
59.61	1582
59.63	1490
59.65	1288
59.67	1372
59.69	1314
59.71	1326
59.73	1282
59.75	1126
59.77	1106
59.79	1044
59.81	896
59.83	864
59.85	878
59.87	896
59.89	822
59.91	774
59.93	770
59.95	730
59.97	662
59.99	614
60.01	584
60.03	526
60.05	506
60.07	468
60.09	450
60.11	412
60.13	436
60.15	340
60.17	306
60.19	304
60.21	294
60.23	210
60.25	196
60.27	200
60.29	188
60.31	194
60.33	186
60.35	172
60.37	168
60.39	130
60.41	124
60.43	146
60.45	100
60.47	92
60.49	118
60.51	84
60.53	88
60.55	98
60.57	72
60.59	78
60.61	64
60.63	62
60.65	70
60.67	62
60.69	60
60.71	68
60.73	82
60.75	60
60.77	72
60.79	50
60.81	76
60.83	60
60.85	62
60.87	82
60.89	80
60.91	72
60.93	82
60.95	52
60.97	70
60.99	56
61.01	40
61.03	52
61.05	58
61.07	64
61.09	66
61.11	54
61.13	60
61.15	52
61.17	52
61.19	48
61.21	50
61.23	54
61.25	54
61.27	48
61.29	60
61.31	52
61.33	54
61.35	40
61.37	42
61.39	44
61.41	44
61.43	30
61.45	46
61.47	40
61.49	36
61.51	38
61.53	36
61.55	36
61.57	36
61.59	40
61.61	32
61.63	26
61.65	36
61.67	34
61.69	44
61.71	38
61.73	36
61.75	36
61.77	34
61.79	32
61.81	26
61.83	38
61.85	24
61.87	26
61.89	30
61.91	32
61.93	30
61.95	32
61.97	32
61.99	34
62.01	34
62.03	42
62.05	36
62.07	42
62.09	36
62.11	36
62.13	32
62.15	40
62.17	34
62.19	30
62.21	38
62.23	34
62.25	34
62.27	40
62.29	32
62.31	38
62.33	32
62.35	32
62.37	28
62.39	32
62.41	32
62.43	32
62.45	24
62.47	38
62.49	30
62.51	38
62.53	36
62.55	24
62.57	34
62.59	28
62.61	32
62.63	24
62.65	30
62.67	30
62.69	22
62.71	34
62.73	24
62.75	32
62.77	32
62.79	22
62.81	32
62.83	30
62.85	32
62.87	36
62.89	40
62.91	36
62.93	34
62.95	34
62.97	32
62.99	28
63.01	38
63.03	36
63.05	28
63.07	30
63.09	28
63.11	34
63.13	32
63.15	36
63.17	34
63.19	40
63.21	44
63.23	34
63.25	26
63.27	24
63.29	32
63.31	34
63.33	26
63.35	34
63.37	30
63.39	26
63.41	24
63.43	42
63.45	28
